id,num_user,num_critic,imdb_score,num_votes,facebook_likes
1,588,432,7.1,203461,46000
2,285,267,6.4,149998,0
3,65,29,3.2,8465,491
4,83,25,7.6,7071,930
5,1437,224,8.0,241030,13000
6,111,64,6.4,64742,0
7,1058,579,8.1,479047,117000
8,59,104,6.8,18442,689
9,117,160,7.2,49855,10000
10,163,99,7.3,16995,0
11,402,145,6.7,91092,0
12,371,359,5.9,108242,39000
13,62,64,6.2,15780,2000
14,251,161,5.8,63912,912
15,113,41,7.0,8535,872
16,85,43,6.4,76850,1000
17,107,65,6.6,40126,975
18,226,113,6.5,26034,0
19,125,71,6.6,17261,455
20,43,10,5.3,8598,250
21,181,93,6.0,44913,3000
22,143,128,4.8,33088,0
23,5,10,4.8,241,261
24,7,39,7.1,774,590
25,18,33,4.5,3119,151
26,53,83,7.4,6091,0
27,156,111,5.0,51252,621
28,41,29,6.1,22748,666
29,148,222,6.6,55597,4000
30,60,25,6.1,18140,855
31,69,87,6.3,10052,0
32,65,121,5.9,8867,0
33,88,117,7.4,46076,11000
34,8,13,5.4,133,424
35,440,465,7.4,232187,47000
36,34,59,5.3,5693,0
37,90,34,6.6,19336,0
38,57,31,6.7,8531,591
39,134,52,6.9,48629,0
40,111,217,6.9,31898,0
41,377,131,6.6,52244,0
42,55,162,7.3,15600,0
43,150,239,6.8,47954,11000
44,120,124,5.4,31191,0
45,152,75,6.2,31260,0
46,316,481,7.6,148221,51000
47,431,142,6.4,200260,0
48,119,47,3.6,2855,663
49,12,15,7.6,341,379
50,37,129,6.6,8307,5000
51,64,15,7.0,3454,548
52,207,78,5.9,6082,853
53,866,301,8.2,692482,11000
54,98,43,6.1,13949,453
55,,,4.3,28,17
56,306,171,5.8,50170,773
57,150,206,6.7,46813,12000
58,43,38,7.3,6454,0
59,10,8,5.8,191,7
60,109,127,4.9,31640,791
61,129,32,1.9,25371,0
62,4,16,7.4,352,44
63,110,224,5.8,28429,0
64,1,5,7.4,59,18
65,283,72,5.8,81783,0
66,238,173,5.5,32671,0
67,214,112,7.1,30210,0
68,498,169,7.3,135246,0
69,343,292,7.9,221128,46000
70,1624,287,7.9,361169,18000
71,781,275,7.3,111609,89000
72,148,49,6.6,62037,0
73,76,121,6.5,16224,830
74,79,143,5.2,7384,0
75,108,94,7.1,28068,0
76,28,12,5.8,1686,161
77,30,8,3.1,851,128
78,69,50,5.7,10104,265
79,88,56,7.5,11612,0
80,123,81,6.2,25572,2000
81,391,196,7.5,240241,0
82,152,84,7.1,71842,0
83,148,118,6.2,17373,767
84,1,6,7.4,70,45
85,101,64,5.3,14315,201
86,102,34,6.2,42644,0
87,31,12,5.9,8904,0
88,186,256,5.8,39975,24000
89,590,318,6.4,343648,0
90,433,151,7.7,98354,0
91,254,125,6.0,81888,0
92,103,53,5.3,6267,368
93,268,135,6.9,30339,0
94,4,5,5.9,917,224
95,55,24,8.4,9852,0
96,319,81,7.6,181879,0
97,282,63,3.8,53115,0
98,185,109,5.8,34942,1000
99,39,25,6.9,6011,905
100,274,245,7.5,55842,13000
101,207,83,6.2,19986,892
102,350,167,6.5,57281,0
103,52,33,4.8,4790,804
104,441,163,5.7,65551,0
105,42,68,8.1,6678,0
106,43,52,6.3,3198,478
107,411,436,6.6,180479,42000
108,20,4,7.6,437,450
109,17,4,3.6,912,502
110,187,122,3.5,39095,16000
111,42,113,7.8,7630,0
112,40,32,4.5,5312,939
113,1106,268,8.1,482064,14000
114,291,129,4.5,22961,1000
115,116,81,5.5,49486,886
116,121,75,5.3,15427,449
117,109,48,6.9,36108,0
118,123,74,6.7,22250,913
119,232,168,7.4,43205,0
120,626,318,8.0,473887,10000
121,7,26,7.7,2112,0
122,29,7,7.5,1314,68
123,131,56,5.3,7319,327
124,696,203,7.3,137891,0
125,86,138,6.2,47297,16000
126,197,267,6.0,75864,23000
127,233,354,7.6,76094,37000
128,95,59,5.0,30215,0
129,34,90,6.9,3571,429
130,174,167,6.2,60555,0
131,322,343,7.0,103737,56000
132,294,98,5.9,77684,0
133,45,99,7.0,14301,0
134,354,138,5.3,18632,656
135,251,62,5.4,98794,0
136,174,256,7.3,123553,25000
137,110,332,7.1,29440,12000
138,1,5,6.5,354,34
139,39,76,5.3,10791,464
140,80,61,7.1,15103,2000
141,978,205,7.6,187595,0
142,568,176,6.4,86504,0
143,69,147,5.7,19157,0
144,369,140,4.9,25870,2000
145,30,17,7.2,3480,396
146,289,313,6.2,99035,17000
147,1100,342,7.2,154938,10000
148,346,149,7.3,43135,0
149,733,453,8.3,544884,30000
150,185,180,7.3,52894,55000
151,230,272,6.1,37495,37000
152,186,129,7.3,27543,607
153,10,10,7.9,53,33
154,4080,828,8.1,644227,1364147
155,92,26,6.0,85903,0
156,81,41,6.4,9566,1000
157,211,127,6.9,29935,0
158,6,3,6.3,397,143
159,1331,252,7.7,399651,0
160,235,84,7.5,52533,10000
161,140,107,6.0,5442,339
162,515,215,7.9,281842,34000
163,29,36,5.1,4099,0
164,100,62,4.6,10966,365
165,35,45,5.6,5674,329
166,3,3,6.8,64,31
167,173,72,7.2,76842,4000
168,101,37,3.0,8279,837
169,318,129,6.7,90374,0
170,34,35,5.1,12942,902
171,460,122,8.0,163492,15000
172,483,157,6.9,182757,19000
173,113,63,4.2,15015,494
174,405,132,6.3,172217,0
175,99,147,6.1,36029,14000
176,97,57,7.2,49007,0
177,64,53,5.2,63625,0
178,2725,712,8.6,928227,349000
179,1017,418,8.0,641997,13000
180,29,39,4.7,4146,0
181,2110,283,8.1,580999,33000
182,15,30,4.3,2157,421
183,68,32,6.6,17124,949
184,243,73,6.8,220392,0
185,2,11,5.1,322,81
186,415,279,7.1,101221,0
187,53,70,5.0,9418,0
188,60,44,7.5,12672,0
189,,,5.2,118,30
190,76,58,5.7,28848,0
191,61,52,5.6,3740,314
192,654,181,7.5,143835,14000
193,148,47,7.0,4360,1000
194,64,35,6.7,3222,352
195,380,270,6.6,133177,24000
196,37,10,4.6,2129,138
197,90,37,6.3,14656,0
198,173,226,6.4,138661,0
199,169,218,7.2,58967,10000
200,1211,464,5.5,69757,62000
201,17,56,7.2,9214,0
202,752,445,6.8,202800,60000
203,271,129,6.1,96693,0
204,14,,5.9,954,57
205,54,152,5.7,7625,0
206,144,52,6.8,22345,0
207,382,31,6.7,12399,0
208,164,70,4.4,26051,0
209,133,51,8.0,17799,0
210,814,237,5.2,88146,0
211,252,77,7.0,154199,0
212,395,114,6.3,144053,0
213,283,377,7.4,141425,25000
214,1140,669,8.0,551363,106000
215,3,8,4.4,237,190
216,384,415,7.3,150082,36000
217,83,76,3.6,15866,0
218,112,63,5.9,12519,853
219,281,324,7.6,136673,10000
220,10,4,5.2,1097,402
221,237,87,5.3,80639,0
222,143,51,7.7,52846,0
223,192,128,6.7,31169,812
224,515,160,6.4,56741,1000
225,492,270,5.9,78256,0
226,28,27,7.2,1756,169
227,71,36,6.3,4546,167
228,19,37,7.2,1696,1000
229,211,195,4.9,49312,0
230,79,58,5.1,10777,671
231,245,335,7.8,139114,15000
232,636,479,8.0,503631,64000
233,994,602,6.8,275868,85000
234,150,144,6.3,12197,650
235,13,18,7.1,2841,0
236,795,194,6.2,162909,0
237,155,128,6.4,25165,827
238,122,238,6.5,64748,12000
239,23,16,4.9,2706,549
240,211,211,6.2,69355,10000
241,166,234,5.1,20376,15000
242,299,166,6.8,60156,0
243,42,10,6.2,899,271
244,317,112,4.3,19331,949
245,216,276,7.4,115813,22000
246,682,161,8.3,604904,31000
247,27,99,7.4,6183,1000
248,988,187,6.7,272223,14000
249,409,168,6.4,35140,0
250,245,195,6.2,40964,0
251,116,84,7.7,9513,0
252,332,153,6.3,162331,0
253,40,92,6.6,7390,0
254,160,224,5.6,58366,10000
255,420,319,7.6,203963,58000
256,284,201,7.2,91017,0
257,252,349,7.1,86664,38000
258,48,34,6.6,16764,1000
259,34,9,5.8,844,962
260,742,173,7.7,343274,18000
261,266,194,5.2,55617,14000
262,118,190,6.7,24150,923
263,388,173,6.9,219171,19000
264,127,178,5.2,44662,0
265,192,172,7.7,99177,11000
266,26,41,4.4,2458,211
267,249,60,5.7,43376,0
268,120,92,7.7,19732,0
269,514,162,8.0,128455,0
270,6,,6.7,114,4
271,215,50,6.5,17068,0
272,149,120,7.4,27629,2000
273,91,40,6.6,29392,0
274,388,333,6.8,87677,11000
275,738,462,6.6,212204,24000
276,57,28,7.2,5841,942
277,80,22,6.3,13587,729
278,113,57,7.3,10499,0
279,227,88,5.1,29659,1000
280,33,67,7.1,8087,1000
281,31,12,5.7,3088,290
282,62,52,2.7,3611,131
283,66,83,6.5,11391,1000
284,985,190,6.1,86890,0
285,835,285,7.5,149966,0
286,679,510,6.9,508818,46000
287,397,351,6.4,216581,21000
288,15,23,5.2,2032,620
289,144,181,5.8,44296,12000
290,514,134,8.2,469561,21000
291,145,40,6.6,35314,0
292,779,321,6.0,101178,90000
293,198,59,6.2,33745,0
294,114,130,5.6,36487,0
295,7,12,7.3,340,32
296,9,11,4.3,1118,77
297,147,59,5.7,14904,0
298,216,61,5.8,24868,964
299,5,10,6.0,369,12
300,352,180,4.3,79146,25000
301,257,186,5.4,115099,2000
302,14,10,6.4,438,20
303,346,109,4.5,34435,886
304,426,96,8.4,168203,11000
305,122,238,6.5,64747,12000
306,142,231,7.1,49240,12000
307,523,116,8.2,414976,21000
308,351,421,8.3,161288,72000
309,185,62,6.9,63459,3000
310,124,146,7.0,56654,0
311,99,60,7.3,6261,0
312,319,190,5.9,111087,0
313,1390,248,5.5,138863,0
314,436,292,7.2,229574,56000
315,184,83,7.1,54478,0
316,204,99,7.3,153468,0
317,24,16,8.7,3144,0
318,182,283,7.4,99430,43000
319,69,27,4.9,3754,113
320,17,18,3.4,838,728
321,4,23,5.7,625,124
322,629,384,7.3,447979,105000
323,223,57,6.9,181380,0
324,313,535,7.4,96233,26000
325,77,111,5.6,25344,0
326,59,73,5.4,10100,153
327,1033,285,5.6,115649,4000
328,1,,8.2,108,232
329,114,72,7.2,5709,754
330,189,141,3.9,26624,0
331,274,94,6.7,70292,8000
332,29,72,7.3,2581,0
333,188,100,5.1,12093,394
334,1,13,6.7,37,38
335,290,221,5.2,75345,0
336,189,162,5.1,25484,13000
337,31,19,4.2,1040,425
338,82,62,5.7,11285,509
339,494,151,8.3,235133,0
340,1053,276,6.8,155745,10000
341,186,89,7.0,58906,0
342,97,105,6.5,13239,0
343,142,152,6.3,89568,17000
344,50,10,8.2,10388,0
345,201,167,5.2,84209,0
346,258,96,6.4,89128,0
347,53,43,6.6,6705,167
348,174,260,7.0,87682,43000
349,319,125,7.9,142448,14000
350,63,60,6.6,3291,400
351,236,91,6.8,76467,0
352,805,214,7.1,193962,5000
353,117,122,6.3,12276,21000
354,205,78,5.9,41664,0
355,311,179,6.0,181443,12000
356,433,209,7.7,110394,0
