id,film_id,person_id,role
1,785,1,a
2,629,1,a
3,1272,1,a
4,2484,1,a
5,1646,1,a
6,4085,2,a
7,2719,4,a
8,4578,4,a
9,56,4,a
10,4613,4,a
11,4231,4,a
12,4977,5,a
13,2044,6,a
14,1456,7,a
15,1894,7,a
16,2345,8,a
17,4117,8,a
18,1008,10,a
19,3928,11,a
20,811,12,a
21,211,15,a
22,3847,15,a
23,4931,15,a
24,3508,15,a
25,1931,16,a
26,3237,17,a
27,3120,17,a
28,3632,17,a
29,2167,17,a
30,1320,17,a
31,4127,17,a
32,4589,18,a
33,671,19,a
34,1476,19,a
35,2281,19,a
36,141,19,a
37,2837,20,a
38,313,20,a
39,3344,20,a
40,232,20,a
41,882,20,a
42,1982,20,a
43,565,20,a
44,2827,20,a
45,4728,21,a
46,3608,22,a
47,3696,24,a
48,4472,24,a
49,3878,24,a
50,4925,25,a
51,675,26,a
52,3342,26,a
53,2313,26,a
54,2206,26,a
55,90,27,a
56,844,27,a
57,641,27,a
58,4791,28,a
59,857,29,a
60,4554,30,a
61,2247,30,a
62,544,30,a
63,1261,30,a
64,254,31,a
65,3587,31,a
66,1335,31,a
67,1501,31,a
68,523,31,a
69,1457,31,a
70,2507,32,a
71,24,34,a
72,21,34,a
73,100,34,a
74,3693,35,a
75,4649,36,a
76,2688,37,a
77,4455,38,a
78,3800,39,a
79,2655,39,a
80,1094,39,a
81,1060,39,a
82,939,40,a
83,2464,40,a
84,509,40,a
85,3482,40,a
86,1327,40,a
87,501,40,a
88,2232,40,a
89,4829,40,a
90,3543,40,a
91,805,40,a
92,4471,40,a
93,3899,42,a
94,2632,44,a
95,4692,45,a
96,504,45,a
97,4808,45,a
98,4356,49,a
99,4967,50,a
100,4908,51,a
101,373,52,a
102,3105,52,a
103,829,52,a
104,403,52,a
105,536,52,a
106,459,52,a
107,570,52,a
108,457,52,a
109,1105,52,a
110,822,52,a
111,1587,52,a
112,1953,52,a
113,2051,52,a
114,450,52,a
115,515,52,a
116,448,52,a
117,936,52,a
118,430,52,a
119,550,52,a
120,2250,52,a
121,479,52,a
122,372,52,a
123,487,52,a
124,531,52,a
125,258,53,a
126,2042,53,a
127,360,53,a
128,2379,53,a
129,3794,53,a
130,2634,53,a
131,661,53,a
132,2824,53,a
133,1163,53,a
134,4115,53,a
135,1084,53,a
136,906,53,a
137,3157,53,a
138,3727,53,a
139,4259,55,a
140,4394,56,a
141,4059,57,a
142,2456,58,a
143,2894,58,a
144,758,59,a
145,1833,59,a
146,3351,60,a
147,3756,61,a
148,485,62,a
149,4027,63,a
150,3246,64,a
151,678,65,a
152,360,67,a
153,674,67,a
154,3615,67,a
155,3237,67,a
156,4831,67,a
157,2605,68,a
158,2688,69,a
159,3944,70,a
160,4268,70,a
161,4450,71,a
162,3215,72,a
163,793,73,a
164,1121,74,a
165,3599,75,a
166,3371,75,a
167,431,75,a
168,3313,75,a
169,4598,76,a
170,4476,77,a
171,3244,78,a
172,4040,80,a
173,4171,81,a
174,4171,82,a
175,999,83,a
176,2725,83,a
177,3655,83,a
178,3197,83,a
179,4578,83,a
180,4222,84,a
181,480,84,a
182,1879,85,a
183,2989,89,a
184,3551,90,a
185,4851,91,a
186,4349,92,a
187,4588,93,a
188,4646,94,a
189,1870,95,a
190,4349,96,a
191,3950,97,a
192,635,98,a
193,2004,99,a
194,3649,100,a
195,3636,100,a
196,1702,100,a
197,2522,100,a
198,4429,100,a
199,4126,100,a
200,2819,100,a
201,4616,100,a
202,3982,100,a
