id,name,date_of_birth,date_of_death
1,Aaliyah,1979-01-16,2001-08-25
2,Aaron Eckhart,1968-03-12,
3,Aaron Paul,1979-08-27,
4,Aaron Taylor-Johnson,1990-06-13,
5,Adam Sandler,,
6,Al Jolson,,
7,Alan Arkin,1934-03-26,
8,Albert Brooks,1947-07-22,
9,Albert Finney,1936-05-09,
10,Alec Baldwin,1958-04-03,
11,Alec Coppel,,
12,Alexander Skarsgard,1976-08-25,
13,Alexis Smith,1921-06-08,1993-06-09
14,Alice Faye,1915-05-05,1998-05-09
15,Alicia Witt,1975-08-21,
16,Allen Garfield,1939-11-22,
17,Alyson Hannigan,1974-03-24,
18,Amy Adams,,
19,Amy Irving,1953-09-10,
20,Amy Poehler,,
21,Andy Garcia,1956-04-12,
22,Andy Serkis,,
23,Angela Bassett,,
24,Angie Dickinson,1931-09-30,
25,Ann Sheridan,1915-02-21,1967-01-21
26,Anna Getty,,
27,Anne Bancroft,1931-09-17,2005-06-06
28,Anne Baxter,,
29,Anne Hathway,1982-11-12,
30,Anne Kronenberg,,
31,Annette O'Toole,1952-04-01,
32,Annie Q,,
33,Anthony Rapp,1971-10-26,
34,Arnold Schwarzenegger,,
35,Ashley Judd,1968-04-19,
36,Ava Gardner,1922-12-24,1990-01-25
37,Barbara Bel Geddes,1922-10-31,2005-08-08
38,Barbara Eden,1931-08-23,
39,Barbara Harris,,
40,Barbara Hershey,1948-02-05,
41,Barbara McNair,1934-03-04,2007-02-04
42,Barbara Williams,,
43,Barbra Streisand,1942-04-24,
44,Barry Nelson,1917-04-16,2007-04-07
45,Bayar,,
46,Ben Kingsley,,
47,Benson Fong,1916-10-10,1987-08-01
48,Bette Davis,,
49,Bette Midler,1945-12-01,
50,Billy Crystal,,
51,Billy Magnussen,1985-04-20,
52,Blake Lively,1987-08-25,
53,Bob Hoskins,1942-10-26,2014-04-29
54,Bobcat Goldwait,,
55,Bookeem Woodbine,1973-04-13,
56,Brad Hunt,,
57,Brad Pitt,,
58,Brendan Fraser,1968-12-03,
59,Brooke Adams,,
60,Bruce Bennett,1906-05-19,2007-02-24
61,Bruce Dern,1936-06-04,
62,Bryan Cranston,,
63,Bud Cort,1948-03-29,
64,Burgess Meredith,1907-11-16,1997-09-09
65,Burt Lancaster,1913-11-02,1994-10-20
66,Cameron Diaz,1972-08-30,
67,Campbell Scott,1961-07-19,
68,Candice Bergen,1946-05-09,
69,Carl Franklin,1949-04-11,
70,Carol Burnett,1933-04-26,
71,Cate Blanchett,1969-05-14,
72,Catherine O'Hara,1954-03-04,
73,Cecile De France,1975-07-17,
74,Charles Bickford,1891-01-01,1967-11-09
75,Charles Chaplin,1889-04-16,1977-12-25
76,Charles Grodin,1935-04-21,
77,Charlize Theron,,
78,Charlton Heston,,
79,Chazz Palminteri,1952-05-15,
80,Chevy Chase,,
81,Chris Coburn,,
82,Chris Ferreira,,
83,Chris Klein,,
84,Chris O'Donnell,1970-06-26,
85,Christian Slater,1969-08-18,
86,Christina Applegate,1971-11-25,
87,Christine Lahti,1950-04-04,
88,Christoph Waltz,1956-10-04,
89,Christopher Meloni,1961-04-02,
90,Christopher Reeve,,
91,Christopher Walken,1943-03-31,
92,Clark Gable,,
93,Claudia Christian,1965-08-10,
94,Clifton Collins Jr.,1970-06-16,
95,Clint Eastwood,,
96,Clive Owen,1964-10-03,
97,Connie Stevens,1938-08-08,
98,Constance Brenneman,,
99,Craig Newmark,1952-12-06,
100,Craig Tsuyumine,,
101,"Cuba Gooding, Jr.",1968-01-02,
102,Danny DeVito,,
103,Danny Elfman,1953-05-29,
104,Daryl Hannah,1960-12-03,
105,David Arquette,1971-09-08,
106,David Caruso,1956-01-07,
107,David Hodo,,
108,David Mandell,,
109,David Miller,,
110,David Tomlinson,1917-05-07,2000-06-24
111,David Walton,,
112,David Warner,,
113,Dean Jones,,
114,Dean Stockwell,1936-03-05,
115,Debbie Reynolds,1932-04-01,2016-12-28
116,Deborah Kara Unger,1966-05-12,
117,Dennis O'Keefe,1908-03-29,1968-08-31
118,Dennis Quaid,1954-04-09,
119,Diane Keaton,1946-01-05,
120,Diane Lane,1965-01-22,
121,Dick Powell,1904-11-14,1963-01-02
122,Dolly Parton,1946-01-19,
123,Dominic Cooper,1978-06-02,
124,Don Ameche,1908-05-31,1993-12-06
125,Donald Curtis,,
126,Donald Sutherland,,
127,Doris Day,,
128,Dorothy McGuire,1916-06-14,2001-09-13
129,Dorothy Provine,,2010-04-25
130,Drew Barrymore,,
131,Dustin Hoffman,,
132,Dwayne Johnson,,
133,Ed Harris,1950-11-28,
134,Eddie Murphy,,
135,Edmond O'Brien,1915-09-10,1985-05-09
136,Edna Purviance,1895-10-21,1958-01-13
137,Edward G. Robinson,1893-12-12,1973-01-26
138,Eli Wallach,1915-12-07,2014-06-24
139,Elizabeth Daily,1961-09-11,
140,Elizabeth Hurley,1965-06-10,
141,Elizabeth Olsen,1989-02-16,
142,Elizabeth Sun,,
143,Ellen Burstyn,1932-12-07,
144,Emile Hirsch,1985-03-13,
145,Emma Roberts,1991-02-10,
146,Emma Thompson,1959-04-15,
147,Eric Bana,1968-08-09,
148,Errol Flynn,,
149,Evel Knievel,,
150,Everett Sloane,1909-10-01,1965-08-06
151,Faith Domergue,1924-06-16,1999-04-04
152,Felipe Rose,,
153,France Nuyen,1939-07-31,
154,Francesca Eastwood,1993-08-07,
155,Frank Sinatra,,
156,Fred Astaire,1899-05-10,1987-06-22
157,Fred MacMurray,1908-08-30,1991-11-05
158,"Freddie Prinze, Jr.",1976-03-08,
159,Gabriel Byrne,1950-05-12,
160,Garrett Hedlund,1984-09-03,
161,Gary Oldman,,
162,Gene Hackman,1930-01-30,
163,Gene Wilder,1933-06-11,2016-08-29
164,George C. Scott,1927-10-18,1999-09-22
165,George Dzundza,1945-07-19,
166,George Sanders,1906-07-03,1972-04-25
167,George Takei,1937-04-20,
168,Giancarlo Gianni,1942-08-01,
169,Gibson Gowland,1877-01-04,1951-09-09
170,Giuseppe Andrews,1979-04-25,
171,Gladys George,1904-09-13,1954-12-08
172,Glenn Close,1947-03-19,
173,Glenn Ford,1916-05-01,2006-08-30
174,Gloria Grahame,1923-11-28,1981-10-05
175,Goldie Hawn,1945-11-21,
176,Greg Kinnear,1963-06-17,
177,Gregory Peck,1916-04-05,2003-06-12
178,Hal Holbrook,1925-02-17,
179,Harrison Ford,,
180,Harry Guardino,1925-12-23,1995-07-17
181,Harvey Fierstein,1954-06-06,
182,Harvey Firestein,1954-06-06,
183,Harvey Milk,,
184,Hattie,,
185,Helen Hayes,1900-10-10,1993-03-17
186,Henry Fonda,,
187,Hilary Swank,1974-07-30,
188,Holly Hunter,1958-03-20,
189,Hugh Grant,,
190,Humphrey Bogart,,
191,Ian Anthony Dale,1978-07-03,
192,Imogen Poots,1989-06-03,
193,Ione Skye,1970-09-04,
194,Irene Dunne,1898-12-20,1990-09-04
195,Isabella Rosellini,1952-06-18,
196,Jack Carson,1910-10-27,1963-01-02
197,Jack Davenport,1973-03-01,
198,Jack Lemmon,1925-02-08,2001-06-27
199,Jack Nicholson,,
200,Jack Oakie,1903-11-12,1978-01-23
201,Jack Palance,1919-02-18,2006-11-10
202,Jack Warden,1920-09-18,2006-07-19
203,Jacob Kornbluth,,
204,Jacqueline Bisset,1944-09-13,
205,Jake Gyllenhaal,,
206,James Caan,1940-03-26,
207,James Franco,,
208,James Hong,1959-04-20,
209,James Shigeta,1929-06-17,2014-07-28
210,James Stewart,,
211,James Woods,1947-04-18,
212,Jami Gertz,1965-10-28,
213,Jamie Chung,1983-04-10,
214,Jane Fonda,,
215,Jane Leeves,1961-04-18,
216,Janet Margolin,1943-07-25,1993-12-17
217,Jason Clarke,1969-07-17,
218,Jayden C. Smith,1998-07-08,
219,Jean Hersholt,1886-07-12,1956-06-02
220,Jean Reno,1948-07-30,
221,Jeanette MacDonald,1903-06-18,1965-01-14
222,Jeff Bridges,1949-12-04,
223,Jeff Goldblum,1952-10-22,
224,Jenn Gotzon,,
225,Jenna Elfman,1971-09-30,
226,Jennifer Aniston,1969-02-11,
227,Jennifer Connelly,1970-12-12,
228,Jennifer Lopez,,
229,Jeremy Northam,1961-12-01,
230,Jet Li,,
231,Joan Allen,1956-08-20,
232,Joan Chen,,
233,Joan Crawford,,
234,Joaquin Phoenix,,
235,Joel McCrea,1905-11-05,1990-10-20
236,John Cazale,1935-08-12,1978-03-13
237,John Cusack,1966-06-28,
238,John Gavin,,
239,John Heard,,
240,John Lithgow,1945-10-19,
241,John Livingston,,
242,John Payne,,
243,John Snowden,,
244,John Travolta,1954-02-18,
245,John Wynn,,
246,Jon Carlo Alvarez,,
247,Jorge Garcia,1973-04-28,
248,Jorgen Leth,1937-06-14,
249,Jose Ferrer,1912-01-08,1992-01-26
250,Josh Hartnett,1978-07-21,
251,Josh Kornbluth,1959-05-21,
252,Josh Lucas,1971-06-20,
253,Joyce Carlin,1951-01-05,
254,Julia Roberts,,
255,Julianne Moore,,
256,Julie Andrews,1935-10-01,
257,Julie Bowen,1970-03-03,
258,Julie Christie,1940-04-14,
259,Juliette Binoche,1964-03-09,
260,Juliette Lewis,1973-06-21,
261,Justin Chambers,1971-07-11,
262,Kadeem Hardison,1965-07-24,
263,Kara Hayward,1998-11-17,
264,Karen Black,1939-07-01,2013-08-08
265,Karl Maden,1912-03-22,2009-07-01
266,Kate Beckinsale,1973-07-26,
267,Kate Bosworth,1983-01-02,
268,Kate Winslet,,
269,Katharine Hepburn,1907-05-12,2003-06-29
270,Katharine Ross,1940-01-29,
271,Kathleen Robertson,1973-07-08,
272,Keanu Reeves,1964-09-02,
273,Keenan Wynn,1916-07-27,1986-10-14
274,Kelli Garner,1984-04-11,
275,Kelsey Grammar,1955-02-21,
276,Ken Berry,1933-11-03,
277,Kenneth Tobey,1917-03-23,2002-12-22
278,Kent Smith,1907-03-19,1985-04-23
279,Keri Russell,1976-03-23,
280,Kevin Bacon,,
281,Kevin Costner,,
282,Kevin Epps,,
283,Kieu Chinh,,
284,Kim Basinger,,
285,Kim Catrall,1956-08-21,
286,Kim Chew,,
287,Kim Novak,1933-02-13,
288,Kirsten Dunst,1982-04-30,
289,Kristen Wiig,1973-08-22,
290,Kristen Wilson,1969-09-04,
291,Krysten Ritter,1981-12-16,
292,Kurt Russell,1951-03-17,
293,Kyra Sedgwick,1965-08-19,
294,Larry Breeding,,
295,Larry Kitagawa,,
296,Laura Leighton,1968-07-24,
297,Laura San Giacomo,1962-11-14,
298,Laureen Chew,,
299,Lauren Bacal,1924-09-16,2014-08-12
300,Lauren Chew,1981-01-08,
301,Lauren Holly,1963-10-28,
302,Laurence Fishburne,1961-07-30,
303,Lee Marvin,1924-02-19,1987-08-29
304,Lee Remick,1935-12-14,1991-07-02
305,Leon Lai,,
306,Leonard Nimoy,1931-03-26,2015-02-27
307,Leslie Mann,1972-03-26,
308,Liam Neeson,,
309,Lilli Palmer,1914-05-24,1986-01-27
310,Lily Tomlin,,
311,Linda Fiorentino,1960-03-09,
312,Lindsay Lohan,,
313,Loretta Swit,1937-11-04,
314,Louis Gossett Jr.,1936-05-27,
315,Lucille Ball,1911-08-06,1989-04-26
316,Luther Adler,1903-05-04,1984-12-08
