id,title,release_year,distributor,lead_actor,director_id
1,180,2011,,Siddarth,97
2,24 Hours on Craigslist,2005,Zealot Pictures,Craig Newmark,148
3,40 Days and 40 Nights,2002,Miramax Films,Josh Hartnett,149
4,48 Hours,1982,Paramount Pictures,Nick Nolte,237
5,50 First Dates,2004,Columbia Pictures,Adam Sandler,176
6,A Jitney Elopement,1915,General Film Company,Charles Chaplin,34
7,A Night Full of Rain,1978,Warner Bros. Pictures,Candice Bergen,130
8,A Smile Like Yours,1997,Paramount Pictures,Greg Kinnear,123
9,A View to a Kill,1985,MGM/UA Entertainment Company,Roger Moore,108
10,About a Boy,2014,National Broadcasting Company,David Walton,138
11,After the Thin Man,1936,Metro-Goldwyn Mayer,William Powell,235
12,Age of Adaline,2015,,Blake Lively,126
13,Alcatraz,2012,Warner Bros. Television,Sarah Jones,91
14,Alexander's Ragtime Band,1938,Twentieth Century Fox Film Corporation,Tyrone Power,81
15,All About Eve,1950,Twentieth Century Fox Film Corp.,Bette Davis,119
16,American Graffiti,1973,Universal Pictures',Richard Dreyfuss,69
17,American Yearbook,2004,,Nick Tagas,27
18,Americana,2015,,Kelli Garner,245
19,Another 48 Hours,1990,Paramount Pictures,Eddie Murphy,237
20,Ant-Man,2015,Walt Disney Studios Motion Pictures,Michael Douglas,179
21,Around the Fire,1998,Ardustry Home Entertainment,Tara Reid,111
22,Attack of the Killer Tomatoes,1978,NAI Entertainment,David Miller,106
23,Babies,2010,Focus Features,Bayar,219
24,Bar Rescue,2016,Spike,,
25,Bar Rescue - Season 4 Ep 18,2015,Spike,,
26,Bar Rescue - Season 4 Ep 21,2015,Spike,,
27,Bar Rescue - Season 5 Ep 8,2016,Spike,,
28,Barbary Coast,1935,United Artists,Mariam Hopkins,87
29,Basic Instinct,1992,TriStar Pictures,Michael Douglas,171
30,Beaches,1988,Columbia Broadcasting System,Bette Midler,66
31,Bedazzled,2000,Twentieth Century Fox Film Corp.,Brendan Fraser,78
32,Bee Season,2005,Fox Searchlight Pictures,Richard Gere,205
33,Bicentennial Man,1999,Buena Vista Pictures,Robin Williams,35
34,Big Eyes,2014,Weinstein Company,Amy Adams,224
35,Big Sur,2013,,Josh Lucas,150
36,Big Trouble in Little China,1986,Twentieth Century Fox Film Corporation,Kurt Russell,105
37,Birdman of Alcatraz,1962,United Artists,Burt Lancaster,107
38,Birth of the Dragon,2016,Kylin Pictures,Philip Ng,70
39,Blue Jasmine,2013,Sony Pictures Classics,Cate Blanchett,244
40,Boys and Girls,2000,Dimension Films,"Freddie Prinze, Jr.",192
41,Broken-A Modern Love Story,2010,,,202
42,"Budding Prospects, Pilot",2017,Amazon,Adam Rose,216
43,Bullitt,1968,Warner Brothers,Steve McQueen,178
44,Burglar,1987,Warner Bros. Pictures,Whoopi Goldberg,88
45,By Hook or By Crook,2001,Artistic License,Silas Howard,79
47,Can't Stop the Music,1980,Associated Film Distribution (AFD),Ray Simpson,155
48,Cardinal X,2015,,Annie Q,15
49,Casualties of War,1989,Columbia Pictures,Michael J. Fox,26
50,Chan is Missing,1982,New Yorker Films,Wood Moy,239
52,Chance - Season 1 ep105,2016,HULU,Hugh Laurie,231
51,Chance - Season 1 Pilot,2016,HULU,Hugh Laurie,127
53,Chance - Season 1ep105,2016,HULU,Hugh Laurie,231
54,Chance- Season 1 ep102,2016,HULU,Hugh Laurie,127
55,Chance- Season 1 ep103,2016,HULU,Hugh Laurie,149
56,Chance- Season 1 ep104,2016,HULU,Hugh Laurie,30
57,Chance- Season 1 ep106,2016,HULU,Hugh Laurie,204
58,Chance- Season 1 ep107,2016,HULU,Hugh Laurie,8
59,Chance- Season 1 ep108,2016,HULU,Hugh Laurie,174
60,Chance- Season 1 ep109,2016,HULU,Hugh Laurie,204
61,Chance- Season 1 ep110,2016,HULU,Hugh Laurie,8
62,Cherish,2002,Fine Line Features,Brad Hunt,62
63,Chu Chu and the Philly Flash,1981,Columbia Broadcasting System (CBS),Alan Arkin,42
64,City of Angels,1998,Warner Bros. Pictures,Nicolas Cage,25
65,Class Action,1991,Twentieth Century Fox Film Corp.,Gene Hackman,146
66,Common Threads: Stories From the Quilt,1989,Direct Cinema Limited,Sara Lewinstein,190
67,Confessions of a Burning Man,2003,Windline Films,Kevin Epps,167
68,Copycat,1995,Warner Bros. Pictures,Sigourney Weaver,115
69,Crackers,1984,Universal Pictures,Donald Sutherland,132
46,CSI: NY- episode 903,2012,Columbia Broadcasting System,Gary Sinise,232
70,D.O.A,1950,United Artists,Edmond O'Brien,200
71,Dark Passage,1947,Warner Bros. Pictures,Humphrey Bogart,48
72,Dawn of the Planet of the Apes,2014,Twentieth Century Fox,Gary Oldman,142
73,Days of Wine and Roses,1962,Warner Bros. Pictures,Jack Lemmon,23
74,Desperate Measures,1998,TriStar Pictures,Michael Keaton,17
75,Dim Sum: A Little Bit of Heart,1985,Orion Classics,Laureen Chew,239
76,Dirty Harry,1971,Warner Brothers,Clint Eastwood,51
77,Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation,Eddie Murphy,19
78,Dopamine,2003,Sundance Channel Home Entertainment,John Livingston,137
79,Down Periscope,1996,Twentieth Century Fox Film Corp.,Kelsey Grammar,45
80,Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.,Eddie Murphy,210
81,Dream for an Insomniac,1996,Columbia TriStar Home Video,Ione Skye,223
82,Dream with the Fishes,1997,Sony Pictures Classics,David Arquette,62
83,Dying Young,1991,Twentieth Century Fox Corporation,Julia Roberts,101
84,Edtv,1999,MCA / Universal Pictures,Matthew McConaughey,198
85,Escape From Alcatraz,1979,Paramount Pictures,Clint Eastwood,52
86,Etruscan Smile,2017,,Brian Cox,162
87,Experiment in Terror,1962,Columbia Pictures,Glenn Ford,23
88,Faces of Death,1978,Aquarius Releasing,Michael Carr,39
89,Family Plot,1976,Universal Pictures,Karen Black,9
