id,address,fun_facts
1,"""Metzger's Apt"" 151 Alice B. Toklas Pl.","Overnight scene involving aggressive arguments between actors, spfx shoot out involved"
2,0-100 block Halleck Street,
3,1 Bush Street,
4,1 Market St. Landmark Building,
5,1 Montgomery Street at Post,
6,1 Post Street,
7,1 Urbano,
8,100 Alemany Blvd.,
9,100 Block of Lombard Street,Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.
10,100 Block of Union Street (Cow Hollow),
11,100 Church Street,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom."
12,100 Embarcadero Street,
13,100 Market Street at 6th Street,
14,100 St. Germain Avenue,
15,1000 Mason St.,
16,1007 Gough Street,Tennis courts now sit on the site; in the movie the structure was Carlota Valdes' home.
17,101 Henry Adams Place,
18,"101 Henry Adams Place, 4th Floor",
19,1018 Tennessee St.,
20,1055 Montgomery St.,
21,1059 Texas Street,
22,1069 Tennessee Street,
23,1080 Natoma Street,
24,10th Street between Market & Mission,
25,11 San Jacinto Ave.,
26,1101 Filbert St.,
27,1111 California Street,
28,1119 Alabama Street,
29,1122 Folsom Street,
30,1125 Guerrero Street,
31,1138 Alabama St,
32,1138 Filbert Street,
33,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)"
34,1155 Filbert Street at Hyde,
35,1158-70 Montgomery Street,
36,1160 Taylor Street,
37,1167 Alabama Street,
38,119 Utah,
39,1200 Washington Street at Taylor Street,
40,1201 Columbus Avenue,
41,1227 Montgomery Street,
42,1227 Montgomery Street (Telegraph Hill),
43,1243 19th Street,
44,1246 Folsom Street,
45,13 Lucky Street,
46,1328 Portola,
47,1375 Haight St.,
48,140 Maiden Lane,
49,1400 16th Street,
50,1400 18th Street,
51,145 Barlett St.,
52,1458 33rd Ave.,
53,1461 Page St.,
54,"1462 Grant Avenue, at Union Street",
55,1465 Revere Avenue between Keith and Jennings,
56,15-17 Fresno Street,
57,1521 Masonic Avenue at Piedmont Street,
58,1536 Noe St.,
59,1541 Grove Street,
60,1559 Underwood Avenue between Lane and Keith,
61,157 Commonwealth,
62,15th St. between Vermont and Kansas,
63,160 Church Street,
64,1601 Lane St.,
65,1627 Haight Street,
66,1641 York Street,
67,16th and Utah,"Helicopter flies over Utah St. from 16th, rises up before freeway"
68,16th St.,Driving shots
69,17th & Market Street,
70,17th and Arkansas,
71,18 Urbano,
72,180 Manchester Street,
73,1801 Laguna at Bush,
74,1821 Alabama Street,
75,1890 Clay St.,
76,1890 Clay Street,
77,18th Street between Guerrero and Valencia Streets,"Re-enactment of ""Dyke's on Bikes"" and ""Dyke March"""
78,18th Street Overpass (Potrero Hill),
79,19 Green Street (North Beach),
80,1901 Ocean Ave. at Ashton Ave.,
81,1954 Mason Street (North Beach),
82,1958 Valencia St.,
83,198 Gough Street,
84,19th and Kansas St.,
85,2 Rowland,
86,20 Hill Street,
87,200 block Market Street,
88,200 Block of Sansome Street (Financial District),
89,200 Kansas St.,
90,200 Post St.,
91,2000 Folsom,
92,2007 Franklin Street,
93,2017 23rd Street,
94,2090 Jackson Street,
95,20th,Driving shots
96,20th & Connecticut Streets (Potrero Hill),
97,20th & De Haro Streets (Potrero Hill),
98,20th & Vermont Streets (Potrero Hill),The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.
99,20th and Folsom Streets,
100,20th St and Church (3885 20th St),
101,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,
102,2100 Green Street,
103,2100 Pacific Ave at Laguna St,
104,2104 Broadway,
105,2107 Union Street,
106,2178 Palou Ave.,
107,2179 48th Ave,
108,2190 Washington Street (Pacific Heights),
109,21st and Collingswood St.,
110,21st and Sanchez St,
111,21st St & Sanchez,
112,222 Mason St.,
113,2230 Sacramento Street,"Called ""1001 Franklin"" in the film."
114,225 California Street,
115,22nd & Wisconsin Streets (Potrero Hill),
116,22nd and Carolina Streets (Potrero Hill),
117,22nd Avenue & Balboa Street (Richmond District),
118,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),
119,22nd St.,Driving shots
120,2340 Francisco Street,
121,23rd & Capp Streets (Mission District),
122,23rd & Iowa Streets (Dogpatch),
123,24 Hill St.,
124,2413 Harrison St.,
125,2417 Franklin Street,
126,2450 Harrison Street,
127,24th and Castro Streets (Noe Valley),
128,24th and Church St.,
129,24th Between Portrero & Alabama,
130,24th St. between Florida and Alabama,
131,24th Street between Folsom and Harrison Streets,
132,24th Street between Mission Street and Potrero Avenue,
133,24th Street Mini Park (Mission District),
134,253 4th Ave.,
135,2552 Hyde Street,
136,2601 Lyon Street,
137,2632 Larkin Street at Lombard,
138,2633 Vallejo Street,
139,2700 Vallejo Street (Pacific Heights),
140,280 Freeway at Pennsylvania and Mariposa Streets,
141,2800 Scott Street,
142,2810 Pacific Avenue,
143,2866 24th St.,
144,2898 Broadway,
145,2898 Vallejo Street,
146,2915 16th St.,
147,2930 3rd Street,
148,2930 Vallejo Street,
149,2934 24th St.,
150,2937 24th Street,
151,29th and Dolores Street,
152,2nd St & Howard,
153,2nd St. at Townsend St.,
154,301 Howard Street,
155,303-305 S. Van Ness,
156,3033 24th Street,
157,304 Lily St.,
158,305 Hugo Street,
159,3050 24th Street,
160,307 Filbert Street,
161,3079 16th Street,
162,312 Fillmore Street,
163,3122 16th Street,
164,314 11th Street,
165,32 Napier Lane,
166,3232 Jackson Ave.,
167,33 Spruce St,
168,330 Santa Clara Ave.,
169,333 Pacheco St at Lopez Ave.,
170,3355 Geary Blvd.,
171,343 Union Street,
172,350 Santa Ana Ave.,
173,350 Union Street,
174,3563 20th St.,
175,3567 18th Street,
176,3639 Taraval St,
177,3650 21st Street,
178,369 Embarcadero,
179,372/374 Pennsylvania Avenue,
180,373 Columbus Avenue,
181,375 Castro St. and 17th between Castro and Diamond St.,Chase sequence on bicycles ends at gas station
182,375 Laguna Honda Blvd.,
183,387 Fair Oaks at 25th Street,
184,391 Pennsylvania Avenue at 19th Street,
185,3rd Street between Market & Harrison,
186,40 Prentiss Street,
187,400 Montgomery Street,
188,4015 21st St,
189,4100 20th St,
190,411 Shrader St.,
191,42 Walter Street,
192,420 Jones St. at Ellis St.,
193,420 Mason St.,
194,422 Oak Street at Laguna,
195,424 Sansome Street,
196,426 Castro St.,
197,430 Vallejo Street (Telegraph Hill),
198,"433 Baker Street,",
199,435 23rd Street at Illinois,
200,435 Broadway,
201,440 Castro St.,
202,475 Diamond St.,
203,50 California Street,
204,500 Block of Pacific Avenue (Chinatown),
205,500 Club (500 Guerrero),
206,500 Cortland Avenue,
207,500 Grove Street,
208,504 Broadway,
209,510 Noe Street & 18th St.,
210,516 Green Street,
211,520 Castro St.,
212,520-522A Green Street at Grant Street,
213,53 Potomac St,
214,534 Hyde Street,
215,535 Octavia Street,
216,544 Natoma (SOMA),
